,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
78,mp-1188689,Nd2 Y6 S12,Nd1 Y3 S6,-2.399530016,-2.5046716,0.105141584,-2.3846716,0.014858416,-0.012423908,-0.012360086
79,mp-1193767,Hf18 W8 S2,Hf9 W4 S1,-0.313783708,-0.3414295,0.027645792,-0.2214295,0.092354208,0.00949708,0.108916206
80,mp-1024069,Na4 Zn6 S8,Na2 Zn3 S4,-1.00556495,-1.1408819,0.13531695,-1.0208819,0.01531695,0.075433263,0.111735585
81,mp-5694,Na1 Ho1 S2,Na1 Ho1 S2,-2.134603063,-2.196968,0.062364937,-2.076968,0.057635063,-0.154321394,-0.133725743
82,mp-1101752,Pr4 As4 S4,Pr1 As1 S1,-1.717031261,-1.7888124,0.071781139,-1.6688124,0.048218861,-0.086092867,-0.028714163
83,mp-558967,K12 Ta8 S44,K3 Ta2 S11,-1.190958906,-1.3330183,0.142059394,-1.2130183,0.022059394,-0.001221606,-0.016892321
84,mp-1223529,K1 Cu7 S4,K1 Cu7 S4,-0.452629962,-0.51780766,0.065177698,-0.39780766,0.054822302,0.016819276,0.07402571
85,mp-1220620,Nb3 W1 S8,Nb3 W1 S8,-1.281164308,-1.3527944,0.071630092,-1.2327944,0.048369908,0.017934495,0.067577538
86,mp-1219601,Sb1 Pb3 S4,Sb1 Pb3 S4,-0.598754217,-0.77559423,0.176840013,-0.65559423,0.056840013,0.104905882,0.04902072
87,mp-504951,In6 Ga6 S18,In1 Ga1 S3,-0.779560963,-1.047574,0.268013037,-0.927574,0.148013037,-0.022903946,-0.028029043
88,mp-1078726,Cs2 Ho2 S4,Cs1 Ho1 S2,-2.119185275,-2.187675,0.068489725,-2.067675,0.051510275,-0.165333651,-0.163693938
89,mp-1193583,Ba4 Ho8 S16,Ba1 Ho2 S4,-2.419589662,-2.5296772,0.110087538,-2.4096772,0.009912462,-0.066213319,-0.050846573
90,mp-12455,Tm4 Cu4 S8,Tm1 Cu1 S2,-1.590929365,-1.7142859,0.123356535,-1.5942859,0.003356535,-0.01322685,0.015426852
91,mp-1179796,Rb4 Co6 S8,Rb2 Co3 S4,-0.851017321,-0.987857,0.136839679,-0.867857,0.016839679,0.020642865,0.01301825
92,mp-12843,S8 Cu4 Y4,S2 Cu1 Y1,-1.590693927,-1.7302217,0.139527773,-1.6102217,0.019527773,-0.012157252,0.001163018
93,mp-23012,Bi4 Pd6 S4,Bi2 Pd3 S2,-0.521839821,-0.596619,0.074779179,-0.476619,0.045220821,-0.02780104,0.003809644
94,mp-756173,Li10 Fe2 S8,Li5 Fe1 S4,-1.266473599,-1.3417475,0.075273901,-1.2217475,0.044726099,0.063597274,0.109087253
95,mp-542627,Fe8 Ag4 S12,Fe2 Ag1 S3,-0.505214399,-0.62941813,0.124203731,-0.50941813,0.004203731,0.168793223,0.167274622
96,mp-1191757,La8 Co2 S14,La4 Co1 S7,-1.985576255,-2.145708,0.160131745,-2.025708,0.040131745,0.180855547,0.172774294
97,mp-1218053,Ta6 Cu4 S12,Ta3 Cu2 S6,-1.170482334,-1.261113,0.090630666,-1.141113,0.029369334,-0.024946236,0.007960183
98,mp-1232223,Ce8 Mg4 S16,Ce2 Mg1 S4,-2.067469661,-2.1013367,0.033867039,-1.9813367,0.086132961,0.068513407,0.161153539
99,mp-541378,Cs4 Bi4 S8,Cs1 Bi1 S2,-0.994317065,-1.1117939,0.117476835,-0.9917939,0.002523165,-0.065577577,-0.07365417
100,mp-3930,Sc4 Mn2 S8,Sc2 Mn1 S4,-1.90104308,-1.9524004,0.05135732,-1.8324004,0.06864268,-0.021980138,-0.021285408
101,mp-1212338,Ho12 Cr4 S24,Ho3 Cr1 S6,-2.019785834,-2.1317701,0.111984266,-2.0117701,0.008015734,0.000734136,0.014476869
102,mp-3787,Rb2 Fe4 S6,Rb1 Fe2 S3,-0.935672357,-0.98450303,0.048830673,-0.86450303,0.071169327,-0.011433489,0.060690689
103,mp-1219680,Rb1 Nb6 S8,Rb1 Nb6 S8,-1.396766277,-1.4818816,0.085115323,-1.3618816,0.034884677,-0.052865352,-0.016962169
104,mp-27255,Ga4 Te2 S4,Ga2 Te1 S2,-0.686105887,-0.8467712,0.160665313,-0.7267712,0.040665313,-0.018933741,0.107817449
105,mp-1196179,Tm16 Cr8 S32,Tm2 Cr1 S4,-1.871840243,-1.9696345,0.097794257,-1.8496345,0.022205743,0.06040752,0.085609109
106,mp-1195809,Gd8 Hf4 S20,Gd2 Hf1 S5,-2.146883804,-2.3154492,0.168565396,-2.1954492,0.048565396,-0.001684759,0.010102037
107,mp-9361,Rb1 La1 S2,Rb1 La1 S2,-2.140519784,-2.2833986,0.142878816,-2.1633986,0.022878816,-0.147096556,-0.169020522
108,mp-27124,Cu4 Bi5 S10,Cu4 Bi5 S10,-0.552466881,-0.64693373,0.094466849,-0.52693373,0.025533151,0.008786195,0.022286246
109,mp-2492941,Li4 Nb2 S6,Li2 Nb1 S3,-1.399196627,-1.4904149,0.091218273,-1.3704149,0.028781727,0.058483603,0.08822018
110,mp-629690,Bi4 Pb6 S12,Bi2 Pb3 S6,-0.729781429,-0.80164057,0.071859141,-0.68164057,0.048140859,-0.000733393,0.039440906
111,mp-753974,Li16 Cr2 S12,Li8 Cr1 S6,-1.351963786,-1.4557973,0.103833514,-1.3357973,0.016166486,0.041790718,0.058721085
112,mp-1172905,Ag3 Bi3 S6,Ag1 Bi1 S2,-0.486879749,-0.55601263,0.069132881,-0.43601263,0.050867119,0.01682917,0.058860264
113,mp-561902,Cs2 Ag6 S4,Cs1 Ag3 S2,-0.498488322,-0.61858267,0.120094348,-0.49858267,9.43E-05,-0.024468684,0.026541576
114,mp-863748,Tb4 B4 S12,Tb1 B1 S3,-1.516608375,-1.6539946,0.137386225,-1.5339946,0.017386225,0.037185812,0.021644912
115,mp-29705,Rb24 Sn8 S28,Rb6 Sn2 S7,-1.228317907,-1.2820644,0.053746493,-1.1620644,0.066253507,-0.021539724,0.045604976
116,mp-29410,Li4 B4 S10,Li2 B2 S5,-0.995566415,-1.1041371,0.108570685,-0.9841371,0.011429315,-0.008969997,0.003520262
117,mp-766422,Li12 Bi4 S16,Li3 Bi1 S4,-1.022543279,-1.1219839,0.099440621,-1.0019839,0.020559379,0.068869029,0.084190112
118,mp-20025,Mn1 Ga2 S4,Mn1 Ga2 S4,-0.925073554,-1.0502759,0.125202346,-0.9302759,0.005202346,-0.033197236,-0.012276431
119,mp-680181,Bi16 Pb16 S40,Bi2 Pb2 S5,-0.699803611,-0.7718166,0.072012989,-0.6518166,0.047987011,0.017543783,0.055581698
120,mp-1224365,K3 In21 S24,K1 In7 S8,-0.85332007,-0.948926,0.09560593,-0.828926,0.02439407,-0.004067534,0.025868941
121,mp-19833,In2 Ag2 S4,In1 Ag1 S2,-0.559127425,-0.77191865,0.212791225,-0.65191865,0.092791225,-0.050271412,-0.024431577
122,mp-30239,Sr6 B4 S12,Sr3 B2 S6,-1.667462778,-1.7654076,0.097944822,-1.6454076,0.022055178,-0.012485195,0.011411993
123,mp-1224121,Hf1 Zr1 S6,Hf1 Zr1 S6,-1.569317189,-1.7393655,0.170048311,-1.6193655,0.050048311,0.003721721,-0.044894314
124,mp-1194276,Ca4 Ho8 S16,Ca1 Ho2 S4,-2.405929086,-2.50631,0.100380914,-2.38631,0.019619086,-0.006845598,-0.007509826
125,mp-1218051,Ta4 Mo1 S8,Ta4 Mo1 S8,-1.23441366,-1.349198,0.11478434,-1.229198,0.00521566,0.075893471,0.085099689
126,mp-1223584,K4 Bi12 S20,K1 Bi3 S5,-0.836971434,-0.920588,0.083616566,-0.800588,0.036383434,-0.002417285,0.02084212
127,mp-15791,Li1 Er1 S2,Li1 Er1 S2,-2.121399676,-2.210228,0.088828324,-2.090228,0.031171676,-0.062915024,-0.047261739
128,mp-1192454,Ti2 Nb8 S16,Ti1 Nb4 S8,-1.525464076,-1.592604,0.067139924,-1.472604,0.052860076,-0.029838915,0.024196361
129,mp-1025263,Ti2 Ni1 S4,Ti2 Ni1 S4,-1.42996627,-1.5347897,0.10482343,-1.4147897,0.01517657,-0.007463904,0.008803923
130,mp-1216628,Tm4 Mn1 S7,Tm4 Mn1 S7,-2.073130118,-2.1776617,0.104531582,-2.0576617,0.015468418,0.038938758,0.057743187
131,mp-1194339,Li12 Sb4 S12,Li3 Sb1 S3,-1.170994167,-1.2382345,0.067240333,-1.1182345,0.052759667,-0.000535461,0.053042649
132,mp-1201533,K36 Fe4 S28,K9 Fe1 S7,-1.069821285,-1.2572728,0.187451515,-1.1372728,0.067451515,0.101391039,0.045828047
133,mp-1216175,Y4 Fe1 S7,Y4 Fe1 S7,-1.984946933,-2.0986686,0.113721667,-1.9786686,0.006278333,0.106085025,0.127684145
134,mp-8947,Sr4 B8 S16,Sr1 B2 S4,-1.233453989,-1.3312688,0.097814811,-1.2112688,0.022185189,-0.010393211,0.013302469
135,mp-1211986,K8 Hg12 S16,K2 Hg3 S4,-0.758335309,-0.8382917,0.079956391,-0.7182917,0.040043609,-0.007081816,0.040467945
136,mp-1200447,La8 Y8 S24,La1 Y1 S3,-2.46285816,-2.5553138,0.09245564,-2.4353138,0.02754436,-0.007517604,0.011963061
137,mp-1103493,Tm1 Mo6 S8,Tm1 Mo6 S8,-0.998825906,-1.2487475,0.249921594,-1.1287475,0.129921594,0.025496512,0.048601182
138,mp-667323,Mg6 Ga12 S24,Mg1 Ga2 S4,-1.181282878,-1.2985226,0.117239722,-1.1785226,0.002760278,-0.012726034,-0.004561647
139,mp-5821,Ta2 Ag2 S6,Ta1 Ag1 S3,-0.95496328,-1.1005458,0.14558252,-0.9805458,0.02558252,-0.005955946,-0.026486328
140,mp-562537,Ta4 Ni6 S16,Ta2 Ni3 S8,-1.044254566,-1.1501542,0.105899634,-1.0301542,0.014100366,-0.035756182,-0.019072937
141,mp-7792,Y4 Sc4 S12,Y1 Sc1 S3,-2.274756047,-2.3946388,0.119882753,-2.2746388,0.000117247,0.00890821,0.020701627
142,mp-4544,Ba8 Co4 S12,Ba2 Co1 S3,-1.598908759,-1.7710799,0.172171141,-1.6510799,0.052171141,0.189002425,0.141969289
143,mp-18148,K12 Ta4 S16,K3 Ta1 S4,-1.51260313,-1.6201817,0.10757857,-1.5001817,0.01242143,-0.192213266,-0.169829205
144,mp-4001,Ba2 Ta2 S6,Ba1 Ta1 S3,-1.782052072,-2.018359,0.236306928,-1.898359,0.116306928,-0.009158067,-0.122489192
145,mp-1189266,K2 Cr6 S10,K1 Cr3 S5,-1.114105531,-1.2108487,0.096743169,-1.0908487,0.023256831,-0.006293174,0.020354688
146,mp-680170,Cs6 Ti6 S27,Cs2 Ti2 S9,-1.324532681,-1.4586197,0.134087019,-1.3386197,0.014087019,-0.012044538,-0.024297649
147,mp-1232129,Er4 Mg2 S8,Er2 Mg1 S4,-2.173367974,-2.2841308,0.110762826,-2.1641308,0.009237174,-0.009125092,0.005516192
148,mp-1226432,Cs1 V6 S8,Cs1 V6 S8,-1.271067919,-1.3691761,0.098108181,-1.2491761,0.021891819,0.022196263,0.045328373
149,mp-1222312,Li1 Eu1 S2,Li1 Eu1 S2,-1.706453019,-1.8431569,0.136703881,-1.7231569,0.016703881,0.11418232,0.105618402
150,mp-1224473,Hf2 Ni1 S4,Hf2 Ni1 S4,-1.54656867,-1.7314087,0.18484003,-1.6114087,0.06484003,0.091502166,0.027753393
151,mp-1386933,Ca1 Ti4 S8,Ca1 Ti4 S8,-1.78995498,-1.9044987,0.11454372,-1.7844987,0.00545628,-0.008108307,-0.001476826
152,mp-1215370,Zr4 Cu1 S8,Zr4 Cu1 S8,-1.713804263,-1.8428936,0.129089337,-1.7228936,0.009089337,-0.002239612,-0.010153748
153,mp-1219053,Sm1 Eu1 S2,Sm1 Eu1 S2,-2.329592711,-2.3952734,0.065680689,-2.2752734,0.054319311,0.002565302,0.065616993
154,mp-8751,Rb2 Li2 S2,Rb1 Li1 S1,-1.344601024,-1.4981328,0.153531776,-1.3781328,0.033531776,-0.012819617,-0.045714825
155,mp-559134,Eu6 As4 S16,Eu3 As2 S8,-1.33463213,-1.4635023,0.12887017,-1.3435023,0.00887017,-0.001020539,0.000156692
156,mp-1221580,Mn1 Hg1 S2,Mn1 Hg1 S2,-0.566137746,-0.6412359,0.075098154,-0.5212359,0.044901846,0.098549874,0.145904489
157,mp-1080726,Zn3 Cr1 S4,Zn3 Cr1 S4,-0.884853989,-1.0277101,0.142856111,-0.9077101,0.022856111,0.128653048,0.106751787
158,mp-981379,Zn3 Cd1 S4,Zn3 Cd1 S4,-0.897149623,-1.1082577,0.211108077,-0.9882577,0.091108077,0.016151407,0.030050824
159,mp-1192902,Tl8 Cu8 S12,Tl2 Cu2 S3,-0.431865203,-0.5506132,0.118747997,-0.4306132,0.001252003,0.038351399,0.042944408
160,mp-1045419,Y2 Cr4 S8,Y1 Cr2 S4,-1.367690169,-1.4883935,0.120703331,-1.3683935,0.000703331,0.065350423,0.071826977
161,mp-1103998,Fe1 Mo6 S8,Fe1 Mo6 S8,-0.756216809,-0.92416066,0.167943851,-0.80416066,0.047943851,0.204500011,0.157574667
162,mp-1193030,Ce8 Co2 S14,Ce4 Co1 S7,-1.951934346,-2.056634,0.104699654,-1.936634,0.015300346,0.103805578,0.123598397
163,mp-37923,Sm5 Ag1 S8,Sm5 Ag1 S8,-2.113616748,-2.2147582,0.101141452,-2.0947582,0.018858548,0.022588061,0.043279415
164,mp-35785,Y4 Cd2 S8,Y2 Cd1 S4,-1.936081384,-2.0544739,0.118392516,-1.9344739,0.001607484,-0.004955495,0.015223418
165,mp-1100384,Ca4 Sn20 S44,Ca1 Sn5 S11,-0.760783526,-0.88327014,0.122486614,-0.76327014,0.002486614,0.147515956,0.14626503
166,mp-1120784,Dy4 Sn2 S6,Dy2 Sn1 S3,-1.564280708,-1.713023,0.148742292,-1.593023,0.028742292,0.406004445,0.3820799
167,mp-674493,In4 Ni2 S8,In2 Ni1 S4,-0.698516274,-0.7871862,0.088669926,-0.6671862,0.031330074,0.073209096,0.107770432
168,mp-18344,Ta4 Tl8 S22,Ta2 Tl4 S11,-0.891767397,-1.0046997,0.112932303,-0.8846997,0.007067697,-0.041887373,-0.030430122
169,mp-1226846,Cd5 Te4 S1,Cd5 Te4 S1,-0.561178367,-0.52858776,-0.032590607,-0.40858776,0.152590607,0.04263913,0.303627125
170,mp-1775070,Mg2 Ni4 S8,Mg1 Ni2 S4,-0.76158217,-0.88355744,0.12197527,-0.76355744,0.00197527,0.168737254,0.172166093
171,mp-1045420,Mg2 Ti4 S8,Mg1 Ti2 S4,-1.615856746,-1.7451712,0.129314454,-1.6251712,0.009314454,0.077200025,0.073289681
172,mp-1002123,K1 Zr1 S2,K1 Zr1 S2,-1.738656963,-1.939675,0.201018037,-1.819675,0.081018037,-0.125341669,-0.200162162
173,mp-685555,Hg36 As36 S72,Hg1 As1 S2,-0.269914548,-0.40647396,0.136559412,-0.28647396,0.016559412,0.106991884,0.095636272
174,mp-5614,Li12 B4 S12,Li3 B1 S3,-1.252635223,-1.2708594,0.018224177,-1.1508594,0.101775823,-0.005410266,0.097184001
175,mp-675383,Li6 Mo12 S16,Li3 Mo6 S8,-1.014978433,-1.1906089,0.175630467,-1.0706089,0.055630467,0.012157255,0.050648008
176,mp-1217039,V4 Cr5 S10,V4 Cr5 S10,-0.975285282,-1.0678153,0.092530018,-0.9478153,0.027469982,0.074820372,0.10329546
177,mp-675925,Ce4 Pb2 S8,Ce2 Pb1 S4,-1.837602764,-1.9330661,0.095463336,-1.8130661,0.024536664,0.047541997,0.07427298
178,mp-1216724,V1 Fe2 S4,V1 Fe2 S4,-0.901403243,-0.98923385,0.087830607,-0.86923385,0.032169393,0.062098277,0.095358928
179,mp-1199685,Cu8 Re12 S24,Cu2 Re3 S6,-0.646466796,-0.761348,0.114881204,-0.641348,0.005118796,0.091158071,0.098296801
180,mp-1194376,Ba4 Sm8 S16,Ba1 Sm2 S4,-2.397213271,-2.5045216,0.107308329,-2.3845216,0.012691671,-0.041651721,-0.027868792
181,mp-1193989,Sr4 Tb8 S16,Sr1 Tb2 S4,-2.436427441,-2.5229275,0.086500059,-2.4029275,0.033499941,-0.026975561,-0.021541043
182,mp-1443978,Mg1 Mn4 S8,Mg1 Mn4 S8,-0.992534163,-1.0712216,0.078687437,-0.9512216,0.041312563,0.001306287,0.046116355
183,mp-4988,Tl8 As8 S16,Tl1 As1 S2,-0.510845626,-0.651834,0.140988374,-0.531834,0.020988374,-0.023577736,-0.038652985
184,mp-866503,Ca8 Sn4 S16,Ca2 Sn1 S4,-1.677767615,-1.7606742,0.082906585,-1.6406742,0.037093415,-0.003148462,0.035036211
